"respondent_id","brand.recall","brand.recognition"
159,"mcdonalds; burgerking; kfc; subway; pizzahut; dominospizza; tacobell; popeyes; fiveguys; shakeshack; jollibee; mosburger; loteria; northfish","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
44,"mcdonalds; kfc; burgerking; subway","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
164,"mcdonalds; kfc; burgerking; bobbyburger; subway; wendys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
120,"mcdonalds; kfc; burgerking; wendys; dunkindonuts; subway; tacobell; dominos; pizzahut; maxburgers; popeyes","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
13,"mcdonalds; kfc; burgerking; tacobell; dominospizza; silverdragon","kfc; burgerking; mcdonalds; subway; tacobell; niewiem; maxburgers"
180,"mcdonalds; wkusnoitoczka; kfc; maxburgers; bobbyburger; kebabking","kfc; niewiem; mcdonalds; subway; maxburgers"
122,"mcdonalds; burgerking; kfc","kfc; burgerking; mcdonalds; subway; niewiem"
61,"mcdonalds; subway; kfc; burgerking","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
88,"mcdonalds; kfc; burgerking; pizzahut","kfc; burgerking; mcdonalds; niewiem"
110,"mcdonalds; kfc; burgerking; wendys; popeyes; tacobell","kfc; burgerking; mcdonalds; subway; tacobell; niewiem; maxburgers; popeyes"
184,"burgerking; kebabking; kfc; mcdonalds","kfc; mcdonalds; subway; tacobell; niewiem; maxburgers"
156,"kfc; dunkindonuts; mcdonalds; maxburgers; burgerking; northfish; tacobell; wendys; popeyes","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
96,"popeyes; mcdonalds; kfc; burgerking; subway","kfc; burgerking; mcdonalds; subway; wendys; maxburgers; niewiem"
75,"mcdonalds; kfc; burgerking; northfish","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
128,"mcdonalds; kfc; burgerking; saladstory; northfish; innout; wendys; shakeshack; chickfila","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
166,"subway; maxburgers; mcdonalds; kfc; dominos; papajohns","kfc; niewiem; mcdonalds; subway; tacobell; wendys; maxburgers"
24,"subway; kfc; burgerking; mcdonalds; zahirkebab","kfc; niewiem; mcdonalds; subway"
126,"maxburgers; mcdonalds; kfc; burgerking; popeyes","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
26,"burgerking; mcdonalds; kfc; wendys; maxburgers; popeyes; 5guys; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
186,"mcdonalds; burgerking; subway; pasibus; saladstory; northfish; chipotle; fiveguys; wendys; popeyes; innout; kfc","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
65,"","kfc; burgerking; mcdonalds; wendys; maxburgers"
35,"mcdonalds; kfc; wendys; maxburgers; northfish; popeyes","kfc; niewiem; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
15,"kfc; mcdonalds; burgerking; pizzahut","kfc; burgerking; mcdonalds; subway; niewiem"
140,"mcdonalds; burgerking; kfc; popeyes; pizzahut; wendys; pasibus; dominos; northfish","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
58,"mcdonalds; kfc; burgerking; pizzahut","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
51,"mcdonalds; kfc; burgerking","kfc; burgerking; mcdonalds; subway; niewiem; wendys; popeyes"
50,"mcdonalds; kfc; burgerking; subway; dunkindonuts","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
66,"mcdonalds; burgerking","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
48,"mcdonalds; burgerking; subway; kfc; wendys; fiveguys; chipotle","kfc; niewiem; mcdonalds; subway; tacobell; wendys; maxburgers"
69,"mcdonalds; kfc; burgerking","kfc; burgerking; mcdonalds; subway; niewiem"
157,"kfc; mcdonalds; subway; northfish; burgerking; kebabking; pizzahut; pasibus","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
99,"mcdonalds; kfc; burgerking; subway; pizzahut","kfc; niewiem; mcdonalds; subway; maxburgers"
181,"mcdonalds; kfc; burgerking; subway; whitecastle; 5guys; wendys; popeyes","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
84,"burgerking; fiveguys; wendys; mcdonalds; kfc; maxburgers; kebabking; dunkindonuts; popeyes; northfish","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
79,"mcdonalds; kfc; wendys; tacobell; pizzahut; burgerking","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
74,"mcdonalds; kfc; burgerking; wendys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; niewiem"
11,"mcdonalds; kfc; burgerking; subway; pizzahut; popeyes; maxburgers; wendys; tacobell; chipotle","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
148,"mcdonalds; kfc; burgerking","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers; popeyes"
91,"burgerking; mcdonalds; kfc; wendys; subway; popeyes; tacobell; pizzahut","kfc; burgerking; mcdonalds; subway; tacobell; wendys; niewiem; popeyes"
192,"mcdonalds; burgerking; maxburgers; pasibus; kfc","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
42,"burgerking; mcdonalds; kfc; subway","kfc; burgerking; mcdonalds; subway; niewiem"
142,"kfc; mcdonalds; pizzahut","kfc; niewiem; mcdonalds"
196,"kfc; mcdonalds; pasibus","kfc; burgerking; mcdonalds; niewiem"
135,"mcdonalds; kfc; burgerking; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
